t,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9
23500800,63394838.39,12434260.72,2.52276545e+10,4.948920661e+10,2.375981403e+10,1.040764671e+11,-1865272439,-1.508233479e+11,-1.82781606e+11,1.316516554e+11,7.185828752e+11,2.990288712e+11,1.415040743e+12,2.267813231e+11,2.870537466e+12,1.599584196e+11,4.502182141e+12,1.285322403e+11
23587200,63850289.1,12535477.83,2.128630346e+10,5.11636719e+10,2.075752887e+10,1.047054655e+11,687157462.6,-1.508352786e+11,-1.840039415e+11,1.299393803e+11,7.181480272e+11,3.000703387e+11,1.414908984e+12,2.276081245e+11,2.870504662e+12,1.605458955e+11,4.502168775e+12,1.290046586e+11
23673600,64307381.49,12637450.45,1.722112335e+10,5.253967697e+10,1.773837281e+10,1.05249102e+11,3239408670,-1.508036596e+11,-1.852103266e+11,1.282158475e+11,7.177116701e+11,3.011111753e+11,1.414776745e+12,2.284348494e+11,2.870471738e+12,1.611333648e+11,4.502155361e+12,1.294770755e+11
23760000,64766107.03,12740183.54,1.305517778e+10,5.36071761e+10,1.470480458e+10,1.057069136e+11,5790744506,-1.507285002e+11,-1.864006569e+11,1.264812065e+11,7.172738048e+11,3.021513788e+11,1.414644029e+12,2.292614977e+11,2.870438694e+12,1.617208274e+11,4.502141897e+12,1.29949491e+11
23846400,65226456.97,12843681.59,8812472768,5.435798355e+10,1.165929621e+10,1.0607851e+11,8340428565,-1.506098226e+11,-1.875748299e+11,1.24735608e+11,7.168344323e+11,3.03190947e+11,1.414510834e+12,2.300880689e+11,2.87040553e+12,1.623082833e+11,4.502128385e+12,1.304219051e+11
23932800,65688422.41,12947948.64,4517794466,5.478588024e+10,8604330745,1.06363574e+11,1.08877249e+10,-1.504476607e+11,-1.887327441e+11,1.229792035e+11,7.163935534e+11,3.042298778e+11,1.414377161e+12,2.309145629e+11,2.870372246e+12,1.628957324e+11,4.502114824e+12,1.308943178e+11
24019200,66151994.31,13052988.22,196532396.6,5.488670424e+10,5542400026,1.06561862e+11,1.343189825e+10,-1.502420609e+11,-1.898742997e+11,1.212121454e+11,7.159511692e+11,3.05268169e+11,1.41424301e+12,2.317409793e+11,2.870338842e+12,1.634831747e+11,4.502101213e+12,1.313667291e+11
24105600,66617163.56,13158803.39,-4125509846,5.465842302e+10,2476002359,1.066732037e+11,1.597221418e+10,-1.499930817e+11,-1.909993982e+11,1.194345873e+11,7.155072804e+11,3.063058183e+11,1.414108381e+12,2.325673178e+11,2.870305318e+12,1.640706103e+11,4.502087554e+12,1.318391389e+11
24192000,67083920.99,13265396.68,-8422314200,5.410118529e+10,-592359752.5,1.066975032e+11,1.850793932e+10,-1.497007939e+11,-1.921079427e+11,1.176466835e+11,7.150618881e+11,3.073428236e+11,1.413973274e+12,2.333935783e+11,2.870271674e+12,1.64658039e+11,4.502073846e+12,1.323115474e+11
24278400,67552257.41,13372770.12,-1.266785539e+10,5.321735081e+10,-3660181912,1.066347383e+11,2.103834157e+10,-1.493652804e+11,-1.931998377e+11,1.158485892e+11,7.146149931e+11,3.083791827e+11,1.413837688e+12,2.342197604e+11,2.87023791e+12,1.652454609e+11,4.502060089e+12,1.327839544e+11
24364800,68022163.68,13480925.21,-1.683631286e+10,5.20114969e+10,-6724960126,1.064849608e+11,2.356269025e+10,-1.489866364e+11,-1.942749891e+11,1.140404607e+11,7.141665965e+11,3.094148934e+11,1.413701625e+12,2.350458638e+11,2.870204026e+12,1.658328759e+11,4.502046282e+12,1.332563599e+11
24451200,68493630.7,13589862.97,-2.090228427e+10,5.049040085e+10,-9784193107,1.062482966e+11,2.608025632e+10,-1.48564969e+11,-1.953333044e+11,1.122224548e+11,7.137166991e+11,3.104499536e+11,1.413565084e+12,2.358718882e+11,2.870170022e+12,1.66420284e+11,4.502032427e+12,1.33728764e+11
24537600,68966649.5,13699583.87,-2.484099711e+10,4.8662998e+10,-1.283538457e+10,1.059249455e+11,2.859031259e+10,-1.481003976e+11,-1.963746925e+11,1.103947295e+11,7.132653018e+11,3.11484361e+11,1.413428065e+12,2.366978335e+11,2.870135898e+12,1.670076852e+11,4.502018523e+12,1.342011667e+11
24624000,69441211.25,13810087.93,-2.86285153e+10,4.654031571e+10,-1.587604552e+10,1.055151807e+11,3.109213389e+10,-1.475930537e+11,-1.973990639e+11,1.085574435e+11,7.128124057e+11,3.125181136e+11,1.413290568e+12,2.375236992e+11,2.870101654e+12,1.675950794e+11,4.50200457e+12,1.346735679e+11
24710400,69917307.3,13921374.68,-3.22419372e+10,4.413538407e+10,-1.890369653e+10,1.050193491e+11,3.358499726e+10,-1.470430807e+11,-1.984063306e+11,1.067107564e+11,7.123580117e+11,3.13551209e+11,1.413152594e+12,2.383494852e+11,2.87006729e+12,1.681824667e+11,4.501990569e+12,1.351459677e+11
